server,conns,rss_kb,goroutine_cost_kb_per_conn
redis,0,7184,0
redis,100,9136,20.64
redis,500,16752,18.98
redis,1000,26160,19.10
redis,5000,102016,18.99
kqueue,0,5280,0
kqueue,100,5376,0.32
kqueue,500,5232,0.29
kqueue,1000,5376,0.24
kqueue,5000,6560,0.25
kqueue-wbuf,0,5152,0
kqueue-wbuf,100,5488,0.96
kqueue-wbuf,500,5376,0.38
kqueue-wbuf,1000,5728,0.37
kqueue-wbuf,5000,5808,0.11
net,0,5216,0
net,100,8000,26.08
net,500,16016,21.63
net,1000,25424,19.97
net,5000,97024,18.31
