server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
phased,size,SET,50,1,8192,1,132450.34,0.215
inline,size,SET,50,1,8192,2,130718.95,0.215
phased,size,SET,50,1,8192,2,142857.14,0.215
inline,size,SET,50,1,8192,3,139860.14,0.207
phased,size,SET,50,1,8192,3,138888.89,0.215
inline,size,SET,50,1,8192,4,132450.34,0.215
phased,size,SET,50,1,8192,4,135135.14,0.215
inline,size,SET,50,1,8192,5,137931.03,0.207
phased,size,SET,50,1,8192,5,137931.03,0.215
inline,size,GET,50,1,8192,1,142857.14,0.207
phased,size,GET,50,1,8192,1,151515.16,0.199
inline,size,GET,50,1,8192,2,138888.89,0.207
phased,size,GET,50,1,8192,2,147058.81,0.199
inline,size,GET,50,1,8192,3,151515.16,0.191
phased,size,GET,50,1,8192,3,142857.14,0.199
inline,size,GET,50,1,8192,4,156250.00,0.175
phased,size,GET,50,1,8192,4,142857.14,0.207
inline,size,GET,50,1,8192,5,147058.81,0.199
phased,size,GET,50,1,8192,5,152671.77,0.191
inline,size,SET,50,1,65536,1,41237.11,1.167
phased,size,SET,50,1,65536,1,40609.14,1.127
inline,size,SET,50,1,65536,2,40404.04,1.191
phased,size,SET,50,1,65536,2,41237.11,1.143
inline,size,SET,50,1,65536,3,41666.67,1.167
phased,size,SET,50,1,65536,3,41237.11,1.135
inline,size,SET,50,1,65536,4,41025.64,1.159
phased,size,SET,50,1,65536,4,41666.67,1.135
inline,size,SET,50,1,65536,5,41025.64,1.183
phased,size,SET,50,1,65536,5,41237.11,1.143
inline,size,GET,50,1,65536,1,72072.07,0.351
phased,size,GET,50,1,65536,1,74766.35,0.311
inline,size,GET,50,1,65536,2,72727.27,0.263
phased,size,GET,50,1,65536,2,74766.35,0.295
inline,size,GET,50,1,65536,3,74766.35,0.271
phased,size,GET,50,1,65536,3,74074.07,0.303
inline,size,GET,50,1,65536,4,73394.50,0.271
phased,size,GET,50,1,65536,4,76190.48,0.279
inline,size,GET,50,1,65536,5,73394.50,0.247
phased,size,GET,50,1,65536,5,76923.08,0.303
inline,size,SET,50,1,262144,1,14519.06,3.351
phased,size,SET,50,1,262144,1,16161.62,2.919
inline,size,SET,50,1,262144,2,15065.91,3.247
phased,size,SET,50,1,262144,2,15936.26,2.959
inline,size,SET,50,1,262144,3,14787.43,3.311
phased,size,SET,50,1,262144,3,16260.16,2.903
inline,size,SET,50,1,262144,4,14760.15,3.303
phased,size,SET,50,1,262144,4,15873.02,2.975
inline,size,SET,50,1,262144,5,14362.66,3.423
phased,size,SET,50,1,262144,5,16032.06,2.935
inline,size,GET,50,1,262144,1,26578.07,1.711
phased,size,GET,50,1,262144,1,29850.75,0.799
inline,size,GET,50,1,262144,2,26143.79,1.735
phased,size,GET,50,1,262144,2,29520.29,0.767
inline,size,GET,50,1,262144,3,25723.47,1.767
phased,size,GET,50,1,262144,3,29304.03,0.687
inline,size,GET,50,1,262144,4,26490.07,1.719
phased,size,GET,50,1,262144,4,29962.55,0.775
inline,size,GET,50,1,262144,5,26402.64,1.719
phased,size,GET,50,1,262144,5,29197.08,0.759
