server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
nocheck,size,GET,50,1,512,2,206185.56,0.127
typecheck,size,GET,50,1,512,2,185185.19,0.135
nocheck,size,GET,50,1,512,3,194174.75,0.127
typecheck,size,GET,50,1,512,3,196078.44,0.127
nocheck,size,GET,50,1,512,4,196078.44,0.127
typecheck,size,GET,50,1,512,4,190476.20,0.135
nocheck,size,GET,50,1,512,5,181818.19,0.135
typecheck,size,GET,50,1,512,5,200000.00,0.127
nocheck,size,SET,50,1,8192,1,140845.06,0.215
typecheck,size,SET,50,1,8192,1,140845.06,0.215
nocheck,size,SET,50,1,8192,2,140845.06,0.215
typecheck,size,SET,50,1,8192,2,144927.55,0.215
nocheck,size,SET,50,1,8192,3,136986.30,0.215
typecheck,size,SET,50,1,8192,3,138888.89,0.215
nocheck,size,SET,50,1,8192,4,138888.89,0.215
typecheck,size,SET,50,1,8192,4,140845.06,0.215
nocheck,size,SET,50,1,8192,5,136986.30,0.215
typecheck,size,SET,50,1,8192,5,139860.14,0.207
nocheck,size,GET,50,1,8192,1,152671.77,0.199
typecheck,size,GET,50,1,8192,1,150375.94,0.199
nocheck,size,GET,50,1,8192,2,153846.16,0.191
typecheck,size,GET,50,1,8192,2,160000.00,0.175
nocheck,size,GET,50,1,8192,3,160000.00,0.183
typecheck,size,GET,50,1,8192,3,149253.73,0.199
nocheck,size,GET,50,1,8192,4,147058.81,0.199
typecheck,size,GET,50,1,8192,4,155038.77,0.183
nocheck,size,GET,50,1,8192,5,148148.14,0.199
typecheck,size,GET,50,1,8192,5,142857.14,0.207
nocheck,size,SET,50,1,65536,1,40816.33,1.143
typecheck,size,SET,50,1,65536,1,39800.99,1.167
nocheck,size,SET,50,1,65536,2,41025.64,1.119
typecheck,size,SET,50,1,65536,2,41237.11,1.135
nocheck,size,SET,50,1,65536,3,41450.78,1.127
typecheck,size,SET,50,1,65536,3,40404.04,1.159
nocheck,size,SET,50,1,65536,4,40816.33,1.143
typecheck,size,SET,50,1,65536,4,39800.99,1.151
nocheck,size,SET,50,1,65536,5,40816.33,1.143
typecheck,size,SET,50,1,65536,5,40609.14,1.151
nocheck,size,GET,50,1,65536,1,76190.48,0.319
typecheck,size,GET,50,1,65536,1,74074.07,0.319
nocheck,size,GET,50,1,65536,2,73394.50,0.367
typecheck,size,GET,50,1,65536,2,72727.27,0.263
nocheck,size,GET,50,1,65536,3,74074.07,0.335
typecheck,size,GET,50,1,65536,3,74766.35,0.319
nocheck,size,GET,50,1,65536,4,76190.48,0.351
typecheck,size,GET,50,1,65536,4,76190.48,0.279
nocheck,size,GET,50,1,65536,5,74074.07,0.319
typecheck,size,GET,50,1,65536,5,74766.35,0.279
nocheck,size,SET,50,1,262144,1,16326.53,2.887
typecheck,size,SET,50,1,262144,1,16032.06,2.943
nocheck,size,SET,50,1,262144,2,16096.58,2.911
typecheck,size,SET,50,1,262144,2,15594.54,3.023
nocheck,size,SET,50,1,262144,3,16064.26,2.903
typecheck,size,SET,50,1,262144,3,15841.58,2.975
nocheck,size,SET,50,1,262144,4,15779.09,2.991
typecheck,size,SET,50,1,262144,4,15748.03,3.015
nocheck,size,SET,50,1,262144,5,15151.52,3.095
typecheck,size,SET,50,1,262144,5,15325.67,3.087
nocheck,size,GET,50,1,262144,1,29850.75,0.839
typecheck,size,GET,50,1,262144,1,28985.51,0.839
nocheck,size,GET,50,1,262144,2,29850.75,0.791
typecheck,size,GET,50,1,262144,2,29629.63,0.791
nocheck,size,GET,50,1,262144,3,29520.29,0.863
typecheck,size,GET,50,1,262144,3,29739.78,0.847
nocheck,size,GET,50,1,262144,4,29850.75,0.799
typecheck,size,GET,50,1,262144,4,29520.29,0.855
nocheck,size,GET,50,1,262144,5,29962.55,0.895
typecheck,size,GET,50,1,262144,5,29629.63,0.703
