server,conns,rss_kb,goroutine_cost_kb_per_conn
redis,0,7088,0
redis,100,9152,19.68
redis,500,16688,19.14
redis,1000,26240,19.02
redis,5000,101456,18.86
kqueue,0,5328,0
kqueue,100,5200,0.96
kqueue,500,5248,0.32
kqueue,1000,5536,0.26
kqueue,5000,6608,0.27
kqueue-wbuf,0,5456,0
kqueue-wbuf,100,5328,0.16
kqueue-wbuf,500,5344,0.45
kqueue-wbuf,1000,5536,0.37
kqueue-wbuf,5000,5760,0.12
net,0,5472,0
net,100,7904,22.56
net,500,16016,21.09
net,1000,24848,19.41
net,5000,96832,18.29
